#原文	読み	文字種	タグ	OrigIdx
る	ル+S	HIRAGANA	S	21
た	タ	HIRAGANA	S	22
め	メ	HIRAGANA	S	23
に	ニ+S	HIRAGANA	S	24
必	ヒツ	KANJI	S	25
要	ヨー	KANJI	S	26
な	ナ+S	HIRAGANA	S	27
措	ソ	KANJI	S	28
置	チ	KANJI	S	29
で	デ	HIRAGANA	S	30
す	ス	HIRAGANA	S	31
。	。+S	SYMBOL	S	32
学	ガク	KANJI	S	33
習	シュー	KANJI	S	34
が	ガ+S	HIRAGANA	S	35
足	タ	KANJI	S	36
り	リ	HIRAGANA	S	37
な	ナ	HIRAGANA	S	38
い	イ	HIRAGANA	S	39
と	ト+S	HIRAGANA	S	40
感	カン	KANJI	S	41
じ	ジ	HIRAGANA	S	42
る	ル+S	HIRAGANA	S	43
と	ト	HIRAGANA	S	44
き	キ	HIRAGANA	S	45
に	ニ+S	HIRAGANA	S	46
追	ツイ	KANJI	S	47
加	カ 	KANJI	S	48
す	ス	HIRAGANA	S	49
る	ル+S	HIRAGANA	S	50
文	ブン	KANJI	S	51
章	ショー	KANJI	S	52
は	ワ	HIRAGANA	S	53
、	、+S	SYMBOL	S	54
著	チョ	KANJI	S	55
作	サク	KANJI	S	56
権	ケン	KANJI	S	57
の	ノ+S	HIRAGANA	S	58
な	ナ	HIRAGANA	S	59
い	イ+S	HIRAGANA	S	60
テ	テ	KATAKANA	S	61
キ	キ	KATAKANA	S	62
ス	ス	KATAKANA	S	63
ト	ト	KATAKANA	S	64
や	ヤ	HIRAGANA	S	65
、	、+S	SYMBOL	S	66
生	セイ	KANJI	S	67
成	セイ+S	KANJI	S	68
A	エーアイ	ALPHA	B	69
I	---	ALPHA	E	70
に	ニ+S	HIRAGANA	S	71
よ	ヨ	HIRAGANA	S	72
っ	ッ	HIRAGANA	S	73
て	テ+S	HIRAGANA	S	74
作	サク	KANJI	S	75
成	セイ+S	KANJI	S	76
さ	サ	HIRAGANA	S	77
れ	レ	HIRAGANA	S	78
た	タ+S	HIRAGANA	S	79
ラ	ラ	KATAKANA	S	80
ン	ン	KATAKANA	S	81
ダ	ダ	KATAKANA	S	82
ム	ム	KATAKANA	S	83
な	ナ+S	HIRAGANA	S	84
文	ブン	KANJI	S	85
章	ショー	KANJI	S	86
を	ヲ+S	HIRAGANA	S	87
使	シ	KANJI	S	88
用	ヨー+S	KANJI	S	89
し	シ	HIRAGANA	S	90
て	テ+S	HIRAGANA	S	91
く	ク	HIRAGANA	S	92
だ	ダ	HIRAGANA	S	93
さ	サ	HIRAGANA	S	94
い	イ	HIRAGANA	S	95
。	。+S	SYMBOL	S	96

点	テン	KANJI	S	0
字	ジ	KANJI	S	1
は	ワ+S	HIRAGANA	S	2
フ	フ	KATAKANA	S	3
ラ	ラ	KATAKANA	S	4
ン	ン	KATAKANA	S	5
ス	ス	KATAKANA	S	6
人	ジン	KANJI	S	7
の	ノ+S	HIRAGANA	S	8
ル	ル	KATAKANA	S	9
イ	イ	KATAKANA	S	10
・	・	SYMBOL	S	11
ブ	ブ	KATAKANA	S	12
ラ	ラ	KATAKANA	S	13
イ	イ	KATAKANA	S	14
ユ	ユ	KATAKANA	S	15
が	ガ+S	HIRAGANA	S	16
一	1	KANJI	S	17
八	8	KANJI	S	18
二	2	KANJI	S	19
五	5	KANJI	S	20
年	ネン	KANJI	S	21
に	ニ+S	HIRAGANA	S	22
考	コー	KANJI	S	23
案	アン+S	KANJI	S	24
し	シ	HIRAGANA	S	25
た	タ+S	HIRAGANA	S	26
触	ショク	KANJI	S	27
読	ドク+S	KANJI	S	28
文	モ	KANJI	S	29
字	ジ+S	KANJI	S	30
体	タイ	KANJI	S	31
系	ケイ	KANJI	S	32
で	デ+S	HIRAGANA	S	33
あ	ア	HIRAGANA	S	34
り	リ	HIRAGANA	S	35
、	、+S	SYMBOL	S	36
六	6	KANJI	S	37
個	コ	KANJI	S	38
の	ノ+S	HIRAGANA	S	39
凸	トツ	KANJI	S	40
点	テン	KANJI	S	41
の	ノ+S	HIRAGANA	S	42
組	ク	KANJI	S	43
み	ミ	HIRAGANA	S	44
合	ア	KANJI	S	45
わ	ワ	HIRAGANA	S	46
せ	セ	HIRAGANA	S	47
に	ニ+S	HIRAGANA	S	48
よ	ヨ	HIRAGANA	S	49
っ	ッ	HIRAGANA	S	50
て	テ+S	HIRAGANA	S	51
文	モ	KANJI	S	52
字	ジ	KANJI	S	53
や	ヤ+S	HIRAGANA	S	54
数	スー	KANJI	S	55
字	ジ	KANJI	S	56
、	、+S	SYMBOL	S	57
音	オン	KANJI	S	58
楽	ガク+S	KANJI	S	59
記	キ	KANJI	S	60
号	ゴー	KANJI	S	61
な	ナ	HIRAGANA	S	62
ど	ド	HIRAGANA	S	63
を	ヲ+S	HIRAGANA	S	64
表	ヒョー	KANJI	S	65
現	ゲン+S	KANJI	S	66
で	デ	HIRAGANA	S	67
き	キ	HIRAGANA	S	68
る	ル+S	HIRAGANA	S	69
画	カッ	KANJI	S	70
期	キ	KANJI	S	71
的	テキ	KANJI	S	72
な	ナ+S	HIRAGANA	S	73
発	ハツ	KANJI	S	74
明	メイ	KANJI	S	75
で	デ+S	HIRAGANA	S	76
あ	ア	HIRAGANA	S	77
る	ル	HIRAGANA	S	78
。	。+S	SYMBOL	S	79

ル	ル	KATAKANA	S	0
イ	イ	KATAKANA	S	1
・	・	SYMBOL	S	2
ブ	ブ	KATAKANA	S	3
ラ	ラ	KATAKANA	S	4
イ	イ	KATAKANA	S	5
ユ	ユ	KATAKANA	S	6
は	ワ+S	HIRAGANA	S	7
三	3	KANJI	S	8
歳	サイ	KANJI	S	9
の	ノ+S	HIRAGANA	S	10
と	ト	HIRAGANA	S	11
き	キ	HIRAGANA	S	12
に	ニ+S	HIRAGANA	S	13
工	コー	KANJI	S	14
具	グ	KANJI	S	15
で	デ+S	HIRAGANA	S	16
目	メ	KANJI	S	17
を	ヲ+S	HIRAGANA	S	18
傷	キズ	KANJI	S	19
つ	ツ	HIRAGANA	S	20
け	ケ	HIRAGANA	S	21
て	テ+S	HIRAGANA	S	22
失	シツ	KANJI	S	23
明	メイ+S	KANJI	S	24
し	シ	HIRAGANA	S	25
、	、+S	SYMBOL	S	26
後	アト	KANJI	S	27
に	ニ+S	HIRAGANA	S	28
パ	パ	KATAKANA	S	29
リ	リ	KATAKANA	S	30
の	ノ+S	HIRAGANA	S	31
王	オー	KANJI	S	32
立	リツ+S	KANJI	S	33
盲	モー	KANJI	S	34
学	ガッ	KANJI	S	35
校	コー	KANJI	S	36
に	ニ+S	HIRAGANA	S	37
入	ニュー	KANJI	S	38
学	ガク+S	KANJI	S	39
し	シ	HIRAGANA	S	40
た	タ+S	HIRAGANA	S	41
こ	コ	HIRAGANA	S	42
と	ト	HIRAGANA	S	43
が	ガ+S	HIRAGANA	S	44
点	テン	KANJI	S	45
字	ジ 	KANJI	S	46
考	コー	KANJI	S	47
案	アン	KANJI	S	48
へ	エ	HIRAGANA	S	49
の	ノ+S	HIRAGANA	S	50
道	ミチ	KANJI	S	51
を	ヲ+S	HIRAGANA	S	52
開	ヒラ	KANJI	S	53
く	ク	HIRAGANA	S	54
大	オオ	KANJI	S	56
き	キ	HIRAGANA	S	57
な	ナ+S	HIRAGANA	S	58
転	テン	KANJI	S	59
機	キ	KANJI	S	60
と	ト+S	HIRAGANA	S	61
な	ナ	HIRAGANA	S	62
っ	ッ	HIRAGANA	S	63
た	タ+S	HIRAGANA	S	64
人	ジン	KANJI	S	65
物	ブツ	KANJI	S	66
で	デ+S	HIRAGANA	S	67
あ	ア	HIRAGANA	S	68
る	ル	HIRAGANA	S	69
。	。+S	SYMBOL	S	70

点	テン	KANJI	S	0
字	ジ	KANJI	S	1
が	ガ+S	HIRAGANA	S	2
考	コー	KANJI	S	3
案	アン+S	KANJI	S	4
さ	サ	HIRAGANA	S	5
れ	レ	HIRAGANA	S	6
る	ル+S	HIRAGANA	S	7
以	イ	KANJI	S	8
前	ゼン	KANJI	S	9
の	ノ+S	HIRAGANA	S	10
盲	モー	KANJI	S	11
学	ガッ	KANJI	S	12
校	コー	KANJI	S	13
で	デ	HIRAGANA	S	14
は	ワ	HIRAGANA	S	15
、	、+S	SYMBOL	S	16
活	カツ	KANJI	S	17
字	ジ	KANJI	S	18
を	ヲ+S	HIRAGANA	S	19
浮	ウ	KANJI	S	20
き	キ	HIRAGANA	S	21
彫	ボ	KANJI	S	22
り	リ	HIRAGANA	S	23
に	ニ+S	HIRAGANA	S	24
し	シ	HIRAGANA	S	25
て	テ+S	HIRAGANA	S	26
指	ユビ	KANJI	S	27
で	デ+S	HIRAGANA	S	28
読	ヨ	KANJI	S	29
む	ム+S	HIRAGANA	S	30
方	ホー	KANJI	S	31
法	ホー	KANJI	S	32
が	ガ+S	HIRAGANA	S	33
用	モチ	KANJI	S	34
い	イ	HIRAGANA	S	35
ら	ラ	HIRAGANA	S	36
れ	レ	HIRAGANA	S	37
て	テ+S	HIRAGANA	S	38
い	イ	HIRAGANA	S	39
た	タ	HIRAGANA	S	40
が	ガ	HIRAGANA	S	41
、	、+S	SYMBOL	S	42
読	ヨ	KANJI	S	43
む	ム+S	HIRAGANA	S	44
こ	コ	HIRAGANA	S	45
と	ト	HIRAGANA	S	46
は	ワ+S	HIRAGANA	S	47
で	デ	HIRAGANA	S	48
き	キ	HIRAGANA	S	49
て	テ	HIRAGANA	S	50
も	モ+S	HIRAGANA	S	51
書	カ	KANJI	S	52
く	ク+S	HIRAGANA	S	53
こ	コ	HIRAGANA	S	54
と	ト	HIRAGANA	S	55
が	ガ+S	HIRAGANA	S	56
で	デ	HIRAGANA	S	57
き	キ	HIRAGANA	S	58
な	ナ	HIRAGANA	S	59
い	イ	HIRAGANA	S	60
と	ト+S	HIRAGANA	S	61
い	イ	HIRAGANA	S	62
う	ウ+S	HIRAGANA	S	63
根	コン	KANJI	S	64
本	ポン	KANJI	S	65
的	テキ	KANJI	S	66
な	ナ+S	HIRAGANA	S	67
問	モン	KANJI	S	68
題	ダイ	KANJI	S	69
が	ガ+S	HIRAGANA	S	70
あ	ア	HIRAGANA	S	71
っ	ッ	HIRAGANA	S	72
た	タ	HIRAGANA	S	73
。	。+S	SYMBOL	S	74

点	テン	KANJI	S	0
字	ジ	KANJI	S	1
の	ノ+S	HIRAGANA	S	2
原	ゲン	KANJI	S	3
型	ケイ	KANJI	S	4
と	ト+S	HIRAGANA	S	5
な	ナ	HIRAGANA	S	6
っ	ッ	HIRAGANA	S	7
た	タ	HIRAGANA	S	8
の	ノ	HIRAGANA	S	9
は	ワ+S	HIRAGANA	S	10
フ	フ	KATAKANA	S	11
ラ	ラ	KATAKANA	S	12
ン	ン	KATAKANA	S	13
ス	ス	KATAKANA	S	14
軍	グン	KANJI	S	15
の	ノ+S	HIRAGANA	S	16
将	ショー	KANJI	S	17
校	コー+S	KANJI	S	18
シ	シャ	KATAKANA	B	19
ャ	---	KATAKANA	E	20
ル	ル	KATAKANA	S	21
ル	ル	KATAKANA	S	22
・	・	SYMBOL	S	23
バ	バ	KATAKANA	S	24
ル	ル	KATAKANA	S	25
ビ	ビ	KATAKANA	S	26
エ	エ	KATAKANA	S	27
が	ガ+S	HIRAGANA	S	28
戦	セン	KANJI	S	29
場	ジョー	KANJI	S	30
で	デ	HIRAGANA	S	31
の	ノ+S	HIRAGANA	S	32
夜	ヤ	KANJI	S	33
間	カン+S	KANJI	S	34
通	ツー	KANJI	S	35
信	シン	KANJI	S	36
用	ヨー	KANJI	S	37
に	ニ+S	HIRAGANA	S	38
開	カイ	KANJI	S	39
発	ハツ+S	KANJI	S	40
し	シ	HIRAGANA	S	41
た	タ+S	HIRAGANA	S	42
「	「	SYMBOL	S	43
夜	ヨル	KANJI	S	44
の	ノ+S	HIRAGANA	S	45
文	モ	KANJI	S	46
字	ジ	KANJI	S	47
」	」	SYMBOL	S	48
と	ト+S	HIRAGANA	S	49
呼	ヨ	KANJI	S	50
ば	バ	HIRAGANA	S	51
れ	レ	HIRAGANA	S	52
る	ル+S	HIRAGANA	S	53
十	1	KANJI	S	54
二	2	KANJI	S	55
点	テン+S	KANJI	S	56
式	シキ	KANJI	S	57
の	ノ+S	HIRAGANA	S	58
触	ショク	KANJI	S	59
読	ドク+S	KANJI	S	60
コ	コ	KATAKANA	S	61
ー	ー	KATAKANA	S	62
ド	ド	KATAKANA	S	63
で	デ+S	HIRAGANA	S	64
あ	ア	HIRAGANA	S	65
り	リ	HIRAGANA	S	66
、	、+S	SYMBOL	S	67
ブ	ブ	KATAKANA	S	68
ラ	ラ	KATAKANA	S	69
イ	イ	KATAKANA	S	70
ユ	ユ	KATAKANA	S	71
は	ワ+S	HIRAGANA	S	72
こ	コ	HIRAGANA	S	73
れ	レ	HIRAGANA	S	74
を	ヲ+S	HIRAGANA	S	75
改	カイ	KANJI	S	76
良	リョー+S	KANJI	S	77
し	シ	HIRAGANA	S	78
た	タ	HIRAGANA	S	79
。	。+S	SYMBOL	S	80

ブ	ブ	KATAKANA	S	0
ラ	ラ	KATAKANA	S	1
イ	イ	KATAKANA	S	2
ユ	ユ	KATAKANA	S	3
は	ワ+S	HIRAGANA	S	4
六	6	KANJI	S	5
点	テン+S	KANJI	S	6
式	シキ	KANJI	S	7
に	ニ+S	HIRAGANA	S	8
簡	カン	KANJI	S	9
略	リャク	KANJI	S	10
化	カ 	KANJI	S	11
す	ス	HIRAGANA	S	12
る	ル+S	HIRAGANA	S	13
こ	コ	HIRAGANA	S	14
と	ト	HIRAGANA	S	15
で	デ+S	HIRAGANA	S	16
文	モ	KANJI	S	17
字	ジ+S	KANJI	S	18
一	ヒト	KANJI	S	19
つ	ツ	HIRAGANA	S	20
を	ヲ+S	HIRAGANA	S	21
指	ユビ+S	KANJI	S	22
一	1	KANJI	S	23
本	ポン	KANJI	S	24
で	デ+S	HIRAGANA	S	25
読	ヨ	KANJI	S	26
み	ミ	HIRAGANA	S	27
取	ト	KANJI	S	28
れ	レ	HIRAGANA	S	29
る	ル	HIRAGANA	S	30
よ	ヨ	HIRAGANA	S	31
う	ー	HIRAGANA	S	32
に	ニ+S	HIRAGANA	S	33
し	シ	HIRAGANA	S	34
、	、+S	SYMBOL	S	35
読	ヨ	KANJI	S	36
み	ミ	HIRAGANA	S	37
取	ト	KANJI	S	38
り	リ+S	HIRAGANA	S	39
速	ソク	KANJI	S	40
度	ド	KANJI	S	41
と	ト+S	HIRAGANA	S	42
正	セイ	KANJI	S	43
確	カク	KANJI	S	44
性	セイ	KANJI	S	45
を	ヲ+S	HIRAGANA	S	46
大	オオ	KANJI	S	47
幅	ハバ	KANJI	S	48
に	ニ+S	HIRAGANA	S	49
向	コー	KANJI	S	50
上	ジョー+S	KANJI	S	51
さ	サ	HIRAGANA	S	52
せ	セ	HIRAGANA	S	53
た	タ+S	HIRAGANA	S	54
点	テン	KANJI	S	55
で	デ+S	HIRAGANA	S	56
師	シ	KANJI	S	57
の	ノ+S	HIRAGANA	S	58
体	タイ	KANJI	S	59
系	ケイ	KANJI	S	60
を	ヲ+S	HIRAGANA	S	61
大	オオ	KANJI	S	62
き	キ	HIRAGANA	S	63
く	ク+S	HIRAGANA	S	64
超	コ	KANJI	S	65
え	エ	HIRAGANA	S	66
る	ル+S	HIRAGANA	S	67
独	ドク	KANJI	S	68
自	ジ	KANJI	S	69
性	セイ	KANJI	S	70
を	ヲ+S	HIRAGANA	S	71
持	モ	KANJI	S	72
つ	ツ+S	HIRAGANA	S	73
発	ハツ	KANJI	S	74
明	メイ	KANJI	S	75
で	デ+S	HIRAGANA	S	76
あ	ア	HIRAGANA	S	77
っ	ッ	HIRAGANA	S	78
た	タ	HIRAGANA	S	79
。	。+S	SYMBOL	S	80

点	テン	KANJI	S	0
字	ジ	KANJI	S	1
は	ワ+S	HIRAGANA	S	2
当	トー	KANJI	S	3
初	ショ	KANJI	S	4
、	、+S	SYMBOL	S	5
盲	モー	KANJI	S	6
学	ガッ	KANJI	S	7
校	コー	KANJI	S	8
の	ノ+S	HIRAGANA	S	9
教	キョー	KANJI	S	10
職	ショク	KANJI	S	11
員	イン	KANJI	S	12
か	カ	HIRAGANA	S	13
ら	ラ	HIRAGANA	S	14
も	モ+S	HIRAGANA	S	15
長	ナガ	KANJI	S	16
ら	ラ	HIRAGANA	S	17
く	ク+S	HIRAGANA	S	18
公	コー	KANJI	S	19
式	シキ	KANJI	S	20
に	ニ	HIRAGANA	S	21
は	ワ+S	HIRAGANA	S	22
認	ミト	KANJI	S	23
め	メ	HIRAGANA	S	24
ら	ラ	HIRAGANA	S	25
れ	レ	HIRAGANA	S	26
ず	ズ	HIRAGANA	S	27
、	、+S	SYMBOL	S	28
ブ	ブ	KATAKANA	S	29
ラ	ラ	KATAKANA	S	30
イ	イ	KATAKANA	S	31
ユ	ユ	KATAKANA	S	32
の	ノ+S	HIRAGANA	S	33
死	シ	KANJI	S	34
後	ゴ+S	KANJI	S	35
二	2	KANJI	S	36
年	ネン	KANJI	S	37
が	ガ+S	HIRAGANA	S	38
経	ケイ	KANJI	S	39
過	カ+S	KANJI	S	40
し	シ	HIRAGANA	S	41
た	タ+S	HIRAGANA	S	42
一	1	KANJI	S	43
八	8	KANJI	S	44
五	5	KANJI	S	45
四	4	KANJI	S	46
年	ネン	KANJI	S	47
に	ニ+S	HIRAGANA	S	48
な	ナ	HIRAGANA	S	49
っ	ッ	HIRAGANA	S	50
て	テ+S	HIRAGANA	S	51
よ	ヨ	HIRAGANA	S	52
う	ー	HIRAGANA	S	53
や	ヤ	HIRAGANA	S	54
く	ク+S	HIRAGANA	S	55
フ	フ	KATAKANA	S	56
ラ	ラ	KATAKANA	S	57
ン	ン	KATAKANA	S	58
ス	ス	KATAKANA	S	59
の	ノ+S	HIRAGANA	S	60
盲	モー	KANJI	S	61
学	ガッ	KANJI	S	62
校	コー	KANJI	S	63
で	デ+S	HIRAGANA	S	64
正	セイ	KANJI	S	65
式	シキ	KANJI	S	66
に	ニ+S	HIRAGANA	S	67
採	サイ	KANJI	S	68
用	ヨー+S	KANJI	S	69
さ	サ	HIRAGANA	S	70
れ	レ	HIRAGANA	S	71
た	タ+S	HIRAGANA	S	72
経	ケイ	KANJI	S	73
緯	イ	KANJI	S	74
が	ガ+S	HIRAGANA	S	75
あ	ア	HIRAGANA	S	76
る	ル	HIRAGANA	S	77
。	。+S	SYMBOL	S	78

日	ニ	KANJI	S	0
本	ホン	KANJI	S	1
に	ニ	HIRAGANA	S	2
は	ワ+S	HIRAGANA	S	3
一	1	KANJI	S	4
八	8	KANJI	S	5
九	9	KANJI	S	6
〇	0	OTHER	S	7
年	ネン	KANJI	S	8
に	ニ+S	HIRAGANA	S	9
石	イシ	KANJI	S	10
川	カワ+S	KANJI	S	11
倉	クラ	KANJI	S	12
次	ジ	KANJI	S	13
が	ガ+S	HIRAGANA	S	14
日	ニ	KANJI	S	15
本	ホン	KANJI	S	16
語	ゴ	KANJI	S	17
の	ノ+S	HIRAGANA	S	18
仮	カ	KANJI	S	19
名	ナ	KANJI	S	20
に	ニ+S	HIRAGANA	S	21
対	タイ	KANJI	S	22
応	オー+S	KANJI	S	23
し	シ	HIRAGANA	S	24
た	タ+S	HIRAGANA	S	25
日	ニ	KANJI	S	26
本	ホン+S	KANJI	S	27
点	テン	KANJI	S	28
字	ジ	KANJI	S	29
を	ヲ+S	HIRAGANA	S	30
制	セイ	KANJI	S	31
定	テイ+S	KANJI	S	32
し	シ	HIRAGANA	S	33
て	テ+S	HIRAGANA	S	34
お	オ	HIRAGANA	S	35
り	リ	HIRAGANA	S	36
、	、+S	SYMBOL	S	37
こ	コ	HIRAGANA	S	38
れ	レ	HIRAGANA	S	39
は	ワ+S	HIRAGANA	S	40
現	ゲン	KANJI	S	41
在	ザイ	KANJI	S	42
も	モ+S	HIRAGANA	S	43
使	シ	KANJI	S	44
用	ヨー+S	KANJI	S	45
さ	サ	HIRAGANA	S	46
れ	レ	HIRAGANA	S	47
て	テ+S	HIRAGANA	S	48
い	イ	HIRAGANA	S	49
る	ル+S	HIRAGANA	S	50
六	6	KANJI	S	51
点	テン+S	KANJI	S	52
点	テン	KANJI	S	53
字	ジ	KANJI	S	54
を	ヲ+S	HIRAGANA	S	55
基	キ	KANJI	S	56
盤	バン	KANJI	S	57
と	ト+S	HIRAGANA	S	58
し	シ	HIRAGANA	S	59
た	タ+S	HIRAGANA	S	60
体	タイ	KANJI	S	61
系	ケイ	KANJI	S	62
と	ト+S	HIRAGANA	S	63
し	シ	HIRAGANA	S	64
て	テ+S	HIRAGANA	S	65
広	ヒロ	KANJI	S	66
く	ク+S	HIRAGANA	S	67
普	フ	KANJI	S	68
及	キュー+S	KANJI	S	69
し	シ	HIRAGANA	S	70
て	テ+S	HIRAGANA	S	71
い	イ	HIRAGANA	S	72
る	ル	HIRAGANA	S	73
。	。+S	SYMBOL	S	74

点	テン	KANJI	S	0
字	ジ	KANJI	S	1
は	ワ+S	HIRAGANA	S	2
一	1	KANJI	S	3
九	9	KANJI	S	4
世	セイ	KANJI	S	5
紀	キ	KANJI	S	6
末	マツ	KANJI	S	7
か	カ	HIRAGANA	S	8
ら	ラ+S	HIRAGANA	S	9
二	2	KANJI	S	10
十	0	KANJI	S	11
世	セイ	KANJI	S	12
紀	キ	KANJI	S	13
に	ニ+S	HIRAGANA	S	14
か	カ	HIRAGANA	S	15
け	ケ	HIRAGANA	S	16
て	テ+S	HIRAGANA	S	17
世	セ	KANJI	S	18
界	カイ+S	KANJI	S	19
各	カッ	KANJI	S	20
国	コク	KANJI	S	21
に	ニ+S	HIRAGANA	S	22
普	フ	KANJI	S	23
及	キュー+S	KANJI	S	24
し	シ	HIRAGANA	S	25
、	、+S	SYMBOL	S	26
各	カク+S	KANJI	S	27
言	ゲン	KANJI	S	28
語	ゴ	KANJI	S	29
の	ノ+S	HIRAGANA	S	30
音	オン	KANJI	S	31
韻	イン+S	KANJI	S	32
体	タイ	KANJI	S	33
系	ケイ	KANJI	S	34
に	ニ+S	HIRAGANA	S	35
合	ア	KANJI	S	36
わ	ワ	HIRAGANA	S	37
せ	セ	HIRAGANA	S	38
た	タ+S	HIRAGANA	S	39
独	ドク	KANJI	S	40
自	ジ	KANJI	S	41
の	ノ+S	HIRAGANA	S	42
点	テン	KANJI	S	43
字	ジ+S	KANJI	S	44
コ	コ	KATAKANA	S	45
ー	ー	KATAKANA	S	46
ド	ド	KATAKANA	S	47
が	ガ+S	HIRAGANA	S	48
整	セイ	KANJI	S	49
備	ビ+S	KANJI	S	50
さ	サ	HIRAGANA	S	51
れ	レ	HIRAGANA	S	52
て	テ+S	HIRAGANA	S	53
い	イ	HIRAGANA	S	54
っ	ッ	HIRAGANA	S	55
た	タ	HIRAGANA	S	56
が	ガ	HIRAGANA	S	57
、	、+S	SYMBOL	S	58
基	キ	KANJI	S	59
本	ホン	KANJI	S	60
と	ト+S	HIRAGANA	S	61
な	ナ	HIRAGANA	S	62
る	ル+S	HIRAGANA	S	63
六	6	KANJI	S	64
点	テン	KANJI	S	65
の	ノ+S	HIRAGANA	S	66
枠	ワク	KANJI	S	67
組	グ	KANJI	S	68
み	ミ	HIRAGANA	S	69
は	ワ+S	HIRAGANA	S	70
世	セ	KANJI	S	71
界	カイ+S	KANJI	S	72
共	キョー	KANJI	S	73
通	ツー	KANJI	S	74
で	デ+S	HIRAGANA	S	75
あ	ア	HIRAGANA	S	76
る	ル	HIRAGANA	S	77
。	。+S	SYMBOL	S	78

二	2	KANJI	S	0
十	0	KANJI	S	1
世	セイ	KANJI	S	2
紀	キ+S	KANJI	S	3
後	コー	KANJI	S	4
半	ハン	KANJI	S	5
に	ニ	HIRAGANA	S	6
は	ワ+S	HIRAGANA	S	7
点	テン	KANJI	S	8
字	ジ+S	KANJI	S	9
プ	プ	KATAKANA	S	10
リ	リ	KATAKANA	S	11
ン	ン	KATAKANA	S	12
タ	タ	KATAKANA	S	13
ー	ー	KATAKANA	S	14
や	ヤ+S	HIRAGANA	S	15
点	テン	KANJI	S	16
字	ジ+S	KANJI	S	17
デ	ディ	KATAKANA	B	18
ィ	---	KATAKANA	E	19
ス	ス	KATAKANA	S	20
プ	プ	KATAKANA	S	21
レ	レ	KATAKANA	S	22
イ	イ	KATAKANA	S	23
が	ガ+S	HIRAGANA	S	24
開	カイ	KANJI	S	25
発	ハツ+S	KANJI	S	26
さ	サ	HIRAGANA	S	27
れ	レ	HIRAGANA	S	28
た	タ+S	HIRAGANA	S	29
