#原文	読み	文字種	OrigIdx
八	8	CharType.JAPANESE_NUMERIC	18
二	2	CharType.JAPANESE_NUMERIC	19
五	5	CharType.JAPANESE_NUMERIC	20
年	ネン	CharType.KANJI	21
に	ニ+S	CharType.HIRAGANA	22
考	コー	CharType.KANJI	23
案	アン+S	CharType.KANJI	24
し	シ	CharType.HIRAGANA	25
た	タ+S	CharType.HIRAGANA	26
触	ショク	CharType.KANJI	27
読	ドク+S	CharType.KANJI	28
文	モ	CharType.KANJI	29
字	ジ+S	CharType.KANJI	30
体	タイ	CharType.KANJI	31
系	ケイ	CharType.KANJI	32
で	デ+S	CharType.HIRAGANA	33
あ	ア	CharType.HIRAGANA	34
り	リ	CharType.HIRAGANA	35
、	_	CharType.SYMBOL_PAUSE	36
六	6	CharType.JAPANESE_NUMERIC	37
個	コ	CharType.KANJI	38
の	ノ+S	CharType.HIRAGANA	39
凸	トツ	CharType.KANJI	40
点	テン	CharType.KANJI	41
の	ノ+S	CharType.HIRAGANA	42
組	ク	CharType.KANJI	43
み	ミ	CharType.HIRAGANA	44
合	ア	CharType.KANJI	45
わ	ワ	CharType.HIRAGANA	46
せ	セ	CharType.HIRAGANA	47
に	ニ+S	CharType.HIRAGANA	48
よ	ヨ	CharType.HIRAGANA	49
っ	ッ	CharType.HIRAGANA	50
て	テ+S	CharType.HIRAGANA	51
文	モ	CharType.KANJI	52
字	ジ	CharType.KANJI	53
や	ヤ+S	CharType.HIRAGANA	54
数	スー	CharType.KANJI	55
字	ジ	CharType.KANJI	56
、	_	CharType.SYMBOL_PAUSE	57
音	オン	CharType.KANJI	58
楽	ガク+S	CharType.KANJI	59
記	キ	CharType.KANJI	60
号	ゴー	CharType.KANJI	61
な	ナ	CharType.HIRAGANA	62
ど	ド	CharType.HIRAGANA	63
を	ヲ+S	CharType.HIRAGANA	64
表	ヒョー	CharType.KANJI	65
現	ゲン+S	CharType.KANJI	66
で	デ	CharType.HIRAGANA	67
き	キ	CharType.HIRAGANA	68
る	ル+S	CharType.HIRAGANA	69
画	カッ	CharType.KANJI	70
期	キ	CharType.KANJI	71
的	テキ	CharType.KANJI	72
な	ナ+S	CharType.HIRAGANA	73
発	ハツ	CharType.KANJI	74
明	メイ	CharType.KANJI	75
で	デ+S	CharType.HIRAGANA	76
あ	ア	CharType.HIRAGANA	77
る	ル	CharType.HIRAGANA	78
。	_	CharType.SYMBOL_STOP	79

ル	ル	CharType.KATAKANA	0
イ	イ	CharType.KATAKANA	1
・	_	CharType.SYMBOL_PAUSE	2
ブ	ブ	CharType.KATAKANA	3
ラ	ラ	CharType.KATAKANA	4
イ	イ	CharType.KATAKANA	5
ユ	ユ	CharType.KATAKANA	6
は	ワ+S	CharType.HIRAGANA	7
三	3	CharType.JAPANESE_NUMERIC	8
歳	サイ	CharType.KANJI	9
の	ノ+S	CharType.HIRAGANA	10
と	ト	CharType.HIRAGANA	11
き	キ	CharType.HIRAGANA	12
に	ニ+S	CharType.HIRAGANA	13
工	コー	CharType.KANJI	14
具	グ	CharType.KANJI	15
で	デ+S	CharType.HIRAGANA	16
目	メ	CharType.KANJI	17
を	ヲ+S	CharType.HIRAGANA	18
傷	キズ	CharType.KANJI	19
つ	ツ	CharType.HIRAGANA	20
け	ケ	CharType.HIRAGANA	21
て	テ+S	CharType.HIRAGANA	22
失	シツ	CharType.KANJI	23
明	メイ+S	CharType.KANJI	24
し	シ	CharType.HIRAGANA	25
、	_	CharType.SYMBOL_PAUSE	26
後	アト	CharType.KANJI	27
に	ニ+S	CharType.HIRAGANA	28
パ	パ	CharType.KATAKANA	29
リ	リ	CharType.KATAKANA	30
の	ノ+S	CharType.HIRAGANA	31
王	オー	CharType.KANJI	32
立	リツ+S	CharType.KANJI	33
盲	モー	CharType.KANJI	34
学	ガッ	CharType.KANJI	35
校	コー	CharType.KANJI	36
に	ニ+S	CharType.HIRAGANA	37
入	ニュー	CharType.KANJI	38
学	ガク+S	CharType.KANJI	39
し	シ	CharType.HIRAGANA	40
た	タ+S	CharType.HIRAGANA	41
こ	コ	CharType.HIRAGANA	42
と	ト	CharType.HIRAGANA	43
が	ガ+S	CharType.HIRAGANA	44
点	テン	CharType.KANJI	45
字	ジ 	CharType.KANJI	46
考	コー	CharType.KANJI	47
案	アン	CharType.KANJI	48
へ	エ	CharType.HIRAGANA	49
の	ノ+S	CharType.HIRAGANA	50
道	ミチ	CharType.KANJI	51
を	ヲ+S	CharType.HIRAGANA	52
開	ヒラ	CharType.KANJI	53
く	ク	CharType.HIRAGANA	54
大	オオ	CharType.KANJI	55
き	キ	CharType.HIRAGANA	56
な	ナ+S	CharType.HIRAGANA	57
転	テン	CharType.KANJI	58
機	キ	CharType.KANJI	59
と	ト+S	CharType.HIRAGANA	60
な	ナ	CharType.HIRAGANA	61
っ	ッ	CharType.HIRAGANA	62
た	タ+S	CharType.HIRAGANA	63
人	ジン	CharType.KANJI	64
物	ブツ	CharType.KANJI	65
で	デ+S	CharType.HIRAGANA	66
あ	ア	CharType.HIRAGANA	67
る	ル	CharType.HIRAGANA	68
。	_	CharType.SYMBOL_STOP	69

点	テン	CharType.KANJI	0
字	ジ	CharType.KANJI	1
が	ガ+S	CharType.HIRAGANA	2
考	コー	CharType.KANJI	3
案	アン+S	CharType.KANJI	4
さ	サ	CharType.HIRAGANA	5
れ	レ	CharType.HIRAGANA	6
る	ル+S	CharType.HIRAGANA	7
以	イ	CharType.KANJI	8
前	ゼン	CharType.KANJI	9
の	ノ+S	CharType.HIRAGANA	10
盲	モー	CharType.KANJI	11
学	ガッ	CharType.KANJI	12
校	コー	CharType.KANJI	13
で	デ	CharType.HIRAGANA	14
は	ワ	CharType.HIRAGANA	15
、	_	CharType.SYMBOL_PAUSE	16
活	カツ	CharType.KANJI	17
字	ジ	CharType.KANJI	18
を	ヲ+S	CharType.HIRAGANA	19
浮	ウ	CharType.KANJI	20
き	キ	CharType.HIRAGANA	21
彫	ボ	CharType.KANJI	22
り	リ	CharType.HIRAGANA	23
に	ニ+S	CharType.HIRAGANA	24
し	シ	CharType.HIRAGANA	25
て	テ+S	CharType.HIRAGANA	26
指	ユビ	CharType.KANJI	27
で	デ+S	CharType.HIRAGANA	28
読	ヨ	CharType.KANJI	29
む	ム+S	CharType.HIRAGANA	30
方	ホー	CharType.KANJI	31
法	ホー	CharType.KANJI	32
が	ガ+S	CharType.HIRAGANA	33
用	モチ	CharType.KANJI	34
い	イ	CharType.HIRAGANA	35
ら	ラ	CharType.HIRAGANA	36
れ	レ	CharType.HIRAGANA	37
て	テ+S	CharType.HIRAGANA	38
い	イ	CharType.HIRAGANA	39
た	タ	CharType.HIRAGANA	40
が	ガ	CharType.HIRAGANA	41
、	_	CharType.SYMBOL_PAUSE	42
読	ヨ	CharType.KANJI	43
む	ム+S	CharType.HIRAGANA	44
こ	コ	CharType.HIRAGANA	45
と	ト	CharType.HIRAGANA	46
は	ワ+S	CharType.HIRAGANA	47
で	デ	CharType.HIRAGANA	48
き	キ	CharType.HIRAGANA	49
て	テ	CharType.HIRAGANA	50
も	モ+S	CharType.HIRAGANA	51
書	カ	CharType.KANJI	52
く	ク+S	CharType.HIRAGANA	53
こ	コ	CharType.HIRAGANA	54
と	ト	CharType.HIRAGANA	55
が	ガ+S	CharType.HIRAGANA	56
で	デ	CharType.HIRAGANA	57
き	キ	CharType.HIRAGANA	58
な	ナ	CharType.HIRAGANA	59
い	イ	CharType.HIRAGANA	60
と	ト+S	CharType.HIRAGANA	61
い	イ	CharType.HIRAGANA	62
う	ウ+S	CharType.HIRAGANA	63
根	コン	CharType.KANJI	64
本	ポン	CharType.KANJI	65
的	テキ	CharType.KANJI	66
な	ナ+S	CharType.HIRAGANA	67
問	モン	CharType.KANJI	68
題	ダイ	CharType.KANJI	69
が	ガ+S	CharType.HIRAGANA	70
あ	ア	CharType.HIRAGANA	71
っ	ッ	CharType.HIRAGANA	72
た	タ	CharType.HIRAGANA	73
。	_	CharType.SYMBOL_STOP	74

点	テン	CharType.KANJI	0
字	ジ	CharType.KANJI	1
の	ノ+S	CharType.HIRAGANA	2
原	ゲン	CharType.KANJI	3
型	ケイ	CharType.KANJI	4
と	ト+S	CharType.HIRAGANA	5
な	ナ	CharType.HIRAGANA	6
っ	ッ	CharType.HIRAGANA	7
た	タ	CharType.HIRAGANA	8
の	ノ	CharType.HIRAGANA	9
は	ワ+S	CharType.HIRAGANA	10
フ	フ	CharType.KATAKANA	11
ラ	ラ	CharType.KATAKANA	12
ン	ン	CharType.KATAKANA	13
ス	ス	CharType.KATAKANA	14
軍	グン	CharType.KANJI	15
の	ノ+S	CharType.HIRAGANA	16
将	ショー	CharType.KANJI	17
校	コー+S	CharType.KANJI	18
シ	シャ	CharType.KATAKANA	19
ャ	---	CharType.KATAKANA	20
ル	ル	CharType.KATAKANA	21
ル	ル	CharType.KATAKANA	22
・	_	CharType.SYMBOL_PAUSE	23
バ	バ	CharType.KATAKANA	24
ル	ル	CharType.KATAKANA	25
ビ	ビ	CharType.KATAKANA	26
エ	エ	CharType.KATAKANA	27
が	ガ+S	CharType.HIRAGANA	28
戦	セン	CharType.KANJI	29
場	ジョー	CharType.KANJI	30
で	デ	CharType.HIRAGANA	31
の	ノ+S	CharType.HIRAGANA	32
夜	ヤ	CharType.KANJI	33
間	カン+S	CharType.KANJI	34
通	ツー	CharType.KANJI	35
信	シン	CharType.KANJI	36
用	ヨー	CharType.KANJI	37
に	ニ+S	CharType.HIRAGANA	38
開	カイ	CharType.KANJI	39
発	ハツ+S	CharType.KANJI	40
し	シ	CharType.HIRAGANA	41
た	タ+S	CharType.HIRAGANA	42
「	_	CharType.SYMBOL_OPEN	43
夜	ヨル	CharType.KANJI	44
の	ノ+S	CharType.HIRAGANA	45
文	モ	CharType.KANJI	46
字	ジ	CharType.KANJI	47
」	_	CharType.SYMBOL_CLOSE	48
と	ト+S	CharType.HIRAGANA	49
呼	ヨ	CharType.KANJI	50
ば	バ	CharType.HIRAGANA	51
れ	レ	CharType.HIRAGANA	52
る	ル+S	CharType.HIRAGANA	53
十	1	CharType.JAPANESE_NUMERIC	54
二	2	CharType.JAPANESE_NUMERIC	55
点	テン+S	CharType.KANJI	56
式	シキ	CharType.KANJI	57
の	ノ+S	CharType.HIRAGANA	58
触	ショク	CharType.KANJI	59
読	ドク+S	CharType.KANJI	60
コ	コ	CharType.KATAKANA	61
ー	ー	CharType.KATAKANA	62
ド	ド	CharType.KATAKANA	63
で	デ+S	CharType.HIRAGANA	64
あ	ア	CharType.HIRAGANA	65
り	リ	CharType.HIRAGANA	66
、	_	CharType.SYMBOL_PAUSE	67
ブ	ブ	CharType.KATAKANA	68
ラ	ラ	CharType.KATAKANA	69
イ	イ	CharType.KATAKANA	70
ユ	ユ	CharType.KATAKANA	71
は	ワ+S	CharType.HIRAGANA	72
こ	コ	CharType.HIRAGANA	73
れ	レ	CharType.HIRAGANA	74
を	ヲ+S	CharType.HIRAGANA	75
改	カイ	CharType.KANJI	76
良	リョー+S	CharType.KANJI	77
し	シ	CharType.HIRAGANA	78
た	タ	CharType.HIRAGANA	79
。	_	CharType.SYMBOL_STOP	80

ブ	ブ	CharType.KATAKANA	0
ラ	ラ	CharType.KATAKANA	1
イ	イ	CharType.KATAKANA	2
ユ	ユ	CharType.KATAKANA	3
は	ワ+S	CharType.HIRAGANA	4
六	6	CharType.JAPANESE_NUMERIC	5
点	テン+S	CharType.KANJI	6
式	シキ	CharType.KANJI	7
に	ニ+S	CharType.HIRAGANA	8
簡	カン	CharType.KANJI	9
略	リャク	CharType.KANJI	10
化	カ 	CharType.KANJI	11
す	ス	CharType.HIRAGANA	12
る	ル+S	CharType.HIRAGANA	13
こ	コ	CharType.HIRAGANA	14
と	ト	CharType.HIRAGANA	15
で	デ+S	CharType.HIRAGANA	16
文	モ	CharType.KANJI	17
字	ジ+S	CharType.KANJI	18
一	ヒト	CharType.JAPANESE_NUMERIC	19
つ	ツ	CharType.HIRAGANA	20
を	ヲ+S	CharType.HIRAGANA	21
指	ユビ+S	CharType.KANJI	22
一	1	CharType.JAPANESE_NUMERIC	23
本	ポン	CharType.KANJI	24
で	デ+S	CharType.HIRAGANA	25
読	ヨ	CharType.KANJI	26
み	ミ	CharType.HIRAGANA	27
取	ト	CharType.KANJI	28
れ	レ	CharType.HIRAGANA	29
る	ル	CharType.HIRAGANA	30
よ	ヨ	CharType.HIRAGANA	31
う	ー	CharType.HIRAGANA	32
に	ニ+S	CharType.HIRAGANA	33
し	シ	CharType.HIRAGANA	34
、	_	CharType.SYMBOL_PAUSE	35
読	ヨ	CharType.KANJI	36
み	ミ	CharType.HIRAGANA	37
取	ト	CharType.KANJI	38
り	リ+S	CharType.HIRAGANA	39
速	ソク	CharType.KANJI	40
度	ド	CharType.KANJI	41
と	ト+S	CharType.HIRAGANA	42
正	セイ	CharType.KANJI	43
確	カク	CharType.KANJI	44
性	セイ	CharType.KANJI	45
を	ヲ+S	CharType.HIRAGANA	46
大	オオ	CharType.KANJI	47
幅	ハバ	CharType.KANJI	48
に	ニ+S	CharType.HIRAGANA	49
向	コー	CharType.KANJI	50
上	ジョー+S	CharType.KANJI	51
さ	サ	CharType.HIRAGANA	52
せ	セ	CharType.HIRAGANA	53
た	タ+S	CharType.HIRAGANA	54
点	テン	CharType.KANJI	55
で	デ+S	CharType.HIRAGANA	56
師	シ	CharType.KANJI	57
の	ノ+S	CharType.HIRAGANA	58
体	タイ	CharType.KANJI	59
系	ケイ	CharType.KANJI	60
を	ヲ+S	CharType.HIRAGANA	61
大	オオ	CharType.KANJI	62
き	キ	CharType.HIRAGANA	63
く	ク+S	CharType.HIRAGANA	64
超	コ	CharType.KANJI	65
え	エ	CharType.HIRAGANA	66
る	ル+S	CharType.HIRAGANA	67
独	ドク	CharType.KANJI	68
自	ジ	CharType.KANJI	69
性	セイ	CharType.KANJI	70
を	ヲ+S	CharType.HIRAGANA	71
持	モ	CharType.KANJI	72
つ	ツ+S	CharType.HIRAGANA	73
発	ハツ	CharType.KANJI	74
明	メイ	CharType.KANJI	75
で	デ+S	CharType.HIRAGANA	76
あ	ア	CharType.HIRAGANA	77
っ	ッ	CharType.HIRAGANA	78
た	タ	CharType.HIRAGANA	79
。	_	CharType.SYMBOL_STOP	80

点	テン	CharType.KANJI	0
字	ジ	CharType.KANJI	1
は	ワ+S	CharType.HIRAGANA	2
当	トー	CharType.KANJI	3
初	ショ	CharType.KANJI	4
、	_	CharType.SYMBOL_PAUSE	5
盲	モー	CharType.KANJI	6
学	ガッ	CharType.KANJI	7
校	コー	CharType.KANJI	8
の	ノ+S	CharType.HIRAGANA	9
教	キョー	CharType.KANJI	10
職	ショク	CharType.KANJI	11
員	イン	CharType.KANJI	12
か	カ	CharType.HIRAGANA	13
ら	ラ	CharType.HIRAGANA	14
も	モ+S	CharType.HIRAGANA	15
長	ナガ	CharType.KANJI	16
ら	ラ	CharType.HIRAGANA	17
く	ク+S	CharType.HIRAGANA	18
公	コー	CharType.KANJI	19
式	シキ	CharType.KANJI	20
に	ニ	CharType.HIRAGANA	21
は	ワ+S	CharType.HIRAGANA	22
認	ミト	CharType.KANJI	23
め	メ	CharType.HIRAGANA	24
ら	ラ	CharType.HIRAGANA	25
れ	レ	CharType.HIRAGANA	26
ず	ズ	CharType.HIRAGANA	27
、	_	CharType.SYMBOL_PAUSE	28
ブ	ブ	CharType.KATAKANA	29
ラ	ラ	CharType.KATAKANA	30
イ	イ	CharType.KATAKANA	31
ユ	ユ	CharType.KATAKANA	32
の	ノ+S	CharType.HIRAGANA	33
死	シ	CharType.KANJI	34
後	ゴ+S	CharType.KANJI	35
二	2	CharType.JAPANESE_NUMERIC	36
年	ネン	CharType.KANJI	37
が	ガ+S	CharType.HIRAGANA	38
経	ケイ	CharType.KANJI	39
過	カ+S	CharType.KANJI	40
し	シ	CharType.HIRAGANA	41
た	タ+S	CharType.HIRAGANA	42
一	1	CharType.JAPANESE_NUMERIC	43
八	8	CharType.JAPANESE_NUMERIC	44
五	5	CharType.JAPANESE_NUMERIC	45
四	4	CharType.JAPANESE_NUMERIC	46
年	ネン	CharType.KANJI	47
に	ニ+S	CharType.HIRAGANA	48
な	ナ	CharType.HIRAGANA	49
っ	ッ	CharType.HIRAGANA	50
て	テ+S	CharType.HIRAGANA	51
よ	ヨ	CharType.HIRAGANA	52
う	ー	CharType.HIRAGANA	53
や	ヤ	CharType.HIRAGANA	54
く	ク+S	CharType.HIRAGANA	55
フ	フ	CharType.KATAKANA	56
ラ	ラ	CharType.KATAKANA	57
ン	ン	CharType.KATAKANA	58
ス	ス	CharType.KATAKANA	59
の	ノ+S	CharType.HIRAGANA	60
盲	モー	CharType.KANJI	61
学	ガッ	CharType.KANJI	62
校	コー	CharType.KANJI	63
で	デ+S	CharType.HIRAGANA	64
正	セイ	CharType.KANJI	65
式	シキ	CharType.KANJI	66
に	ニ+S	CharType.HIRAGANA	67
採	サイ	CharType.KANJI	68
用	ヨー+S	CharType.KANJI	69
さ	サ	CharType.HIRAGANA	70
れ	レ	CharType.HIRAGANA	71
た	タ+S	CharType.HIRAGANA	72
経	ケイ	CharType.KANJI	73
緯	イ	CharType.KANJI	74
が	ガ+S	CharType.HIRAGANA	75
あ	ア	CharType.HIRAGANA	76
る	ル	CharType.HIRAGANA	77
。	_	CharType.SYMBOL_STOP	78

日	ニ	CharType.KANJI	0
本	ホン	CharType.KANJI	1
に	ニ	CharType.HIRAGANA	2
は	ワ+S	CharType.HIRAGANA	3
一	1	CharType.JAPANESE_NUMERIC	4
八	8	CharType.JAPANESE_NUMERIC	5
九	9	CharType.JAPANESE_NUMERIC	6
〇	0	CharType.JAPANESE_NUMERIC	7
年	ネン	CharType.KANJI	8
に	ニ+S	CharType.HIRAGANA	9
石	イシ	CharType.KANJI	10
川	カワ+S	CharType.KANJI	11
倉	クラ	CharType.KANJI	12
次	ジ	CharType.KANJI	13
が	ガ+S	CharType.HIRAGANA	14
日	ニ	CharType.KANJI	15
本	ホン	CharType.KANJI	16
語	ゴ	CharType.KANJI	17
の	ノ+S	CharType.HIRAGANA	18
仮	カ	CharType.KANJI	19
名	ナ	CharType.KANJI	20
に	ニ+S	CharType.HIRAGANA	21
対	タイ	CharType.KANJI	22
応	オー+S	CharType.KANJI	23
し	シ	CharType.HIRAGANA	24
た	タ+S	CharType.HIRAGANA	25
日	ニ	CharType.KANJI	26
本	ホン+S	CharType.KANJI	27
点	テン	CharType.KANJI	28
字	ジ	CharType.KANJI	29
を	ヲ+S	CharType.HIRAGANA	30
制	セイ	CharType.KANJI	31
定	テイ+S	CharType.KANJI	32
し	シ	CharType.HIRAGANA	33
て	テ+S	CharType.HIRAGANA	34
お	オ	CharType.HIRAGANA	35
